지정상품(국문),NICE분류,유사군코드,지정상품(영문)
붕소비료,01,G0101,boron fertilizers
맥주박비료,01,G0101,brewers' grain [fertilizer]
부산염기성 가리비료,01,G0101,by-product basic potassium (fertilizers)
부산소석회비료,01,G0101,by-product calcium hydroxide powder (fertilizers)
부산물비료,01,G0101,by-products (fertilizers)
소성규산석회비료,01,G0101,calcined calcium silicate (fertilizers)
소성인산비료,01,G0101,calcined phosphate (fertilizers)
소성가리비료,01,G0101,calcined potassium fertilizer
칼슘시안아미드비료,01,G0101,calcium cyanamide [fertilizer]
소석회,01,G0101,calcium hydroxide
소석회비료,01,G0101,calcium hydroxide (fertilizers)
생석회비료,01,G0101,calcium oxide (fertilizers)
규산석회비료,01,G0101,calcium silicate fertilizer
규산칼슘비료,01,G0101,calcium silicate fertilizers
과인산석회비료,01,G0101,calcium superphosphate fertilizer
아주까리깻묵비료,01,G0101,castor oil cake (manures)
왕겨비료,01,G0101,chaff (manures)
화학비료,01,G0101,chemical fertilizers
화학적 변환화합물비료,01,G0101,chemically converted compound fertilizers
칠레초석비료,01,G0101,chile saltpeter (fertilizers)
염화석회비료,01,G0101,chloridation lime (fertilizers)
복합비료,01,G0101,complex fertilizers
퇴비,01,G0101,compost
화합물비료,01,G0101,compound fertilizers
가정용 비료,01,G0101,fertilizers for domestic use
농업용 비료,01,G0101,fertilizers for agricultural use
수경재배용 비료,01,G0101,hydroponic fertilizers
원예용 피트포트,01,G0101,peat pots for horticultural use
비료제제,01,G0101,fertilising preparations
가정 식물용 비료,01,G0101,fertilizers for household plants
유기농 다이제스트(비료),01,G0101,organic digestate [fertilizer]
유기농 화분용 흙,01,G0101,organic potting soil
복합비료,01,G0101,complex fertilizer
비료,01,G0101,manure
비료용 해초,01,G0101,seaweeds for use as a fertilizer
비료,01,G0101,fertilisers
유기비료,01,G0101,organic manure
질소비료,01,G0101,nitrogenous fertilisers
비료용 염류,01,G0101,salts [fertilisers]
인산염비료,01,G0101,phosphates [fertilisers]
유기농 다이제스트(비료),01,G0101,organic digestate [fertiliser]
어분비료,01,G0101,fish meal fertilisers
슬래그비료,01,G0101,slag [fertilizers]
비료용 해초,01,G0101,seaweeds [fertilisers]
칼슘시안아미드비료,01,G0101,calcium cyanamide [fertiliser]
토탄(土炭)비료,01,G0101,peat [fertiliser]
비료제제,01,G0101,fertilizing preparations
구비(廐肥),01,G0101,animal manure
과인산염비료,01,G0101,superphosphates [fertilisers]
발효된 닭 구비(비료),01,G0101,fermented chicken manure being fertilizer
비화학적 생물 비료,01,G0101,non-chemical bio-fertilizers
식물용 비료,01,G0101,plant fertilizers
양 구비(비료),01,G0101,sheep manure being fertilizer
인산염비료,01,G0101,phosphate fertilisers
종합 영양 비료,01,G0101,multi-nutrient fertilisers
유산가리비료,01,G0101,potassium sulphate fertilizer
화분용 퇴비,01,G0101,potting compost
화분용 흙,01,G0101,potting soil
쌀겨비료,01,G0101,rice bran [fertilizer]
쌀겨깻묵비료,01,G0101,rice bran oil cake (fertilizers)
부죽겨비료,01,G0101,rotten and aging hulls of grain (fertilizers)
비료용 염류,01,G0101,salts [fertilizers]
톱밥비료,01,G0101,sawdust fertilizers
비료용 해초,01,G0101,seaweeds [fertilizers]
채종깻묵비료,01,G0101,seeds oil cake (manures)
패석회분말비료,01,G0101,shell lime powder (fertilizers)
규산질비료,01,G0101,silicates (fertilizers)
잠종깻묵비료,01,G0101,silkworm oil cake (manures)
슬래그비료,01,G0101,slag [fertilisers]
완효성 질소비료,01,G0101,slow-release nitrogenous fertilizers
초산소다비료,01,G0101,sodium nitrate fertilizer
특수성분비료,01,G0101,special ingredient fertilizers
수경재배용 물질,01,G0101,substrates for hydroponics
농업용 무토양(無土壤)재배용 물질,01,G0101,substrates for soil-free growing [agriculture]
황산고토비료,01,G0101,sulfuric acid magnesia (fertilizers)
황산화마그네슘비료,01,G0101,sulfuric acid magnesium (fertilizers)
과인산염비료,01,G0101,superphosphates [fertilizers]
토마스인산비료,01,G0101,thomas phosphate [fertilizer]
토마스인비료,01,G0101,thomas phosphatic fertilizer
표토,01,G0101,topsoil
미량요소비료,01,G0101,trace urea fertilizers
중과석비료,01,G0101,triple superphosphate fertilizers
요소비료,01,G0101,urea fertilizer
규회석비료,01,G0101,wollastonite (fertilizers)
아연비료,01,G0101,zinc (fertilizers)
황산아연비료,01,G0101,zinc sulfate (fertilizers)
아미노산 발효 부산비료,01,G0101,amino acid fermentation by-product (manures)
염안(鹽安)비료,01,G0101,ammonium chloride fertilizer
초안(硝安)비료,01,G0101,ammonium nitrate fertilizer
유안(硫安)비료,01,G0101,ammonium sulphate fertilizer
암모니아수비료,01,G0101,aqueous ammonia (fertilizers)
속성비료,01,G0101,artificial farmyard fertilizers
식물생육용 인공토양,01,G0101,artificial plant-cultivation soil
식물생육용 광물질제 인공토양,01,G0101,artificial plant-cultivation soil made of mineral materials
식물생육용 플라스틱제 인공토양,01,G0101,artificial plant-cultivation soil made of plastic materials
광물질 재료로 만든 식물생육용 인공토양,01,G0101,artificial soil for plant cultivation made from mineral materials
플라스틱 재료로 만든 식물생육용 인공토양,01,G0101,artificial soil for plant cultivation made from plastic materials
쇠두엄(구비),01,G0101,barn manure (farmyard manure)
상토,01,G0101,bed soil
맥주오니비료,01,G0101,beer sludge (fertilizers)
생물비료,01,G0101,biofertilizers
혈분비료,01,G0101,blood powder [fertilizer]
골분비료,01,G0101,bone meal [fertilizer]
붕산비료,01,G0101,boric acid (fertilizers)
구리비료,01,G0101,copper (fertilizers)
면실깻묵비료,01,G0101,cottonseed oil cake (fertilizers)
고토비료,01,G0101,dolomitic fertilizers
고토석회분말비료,01,G0101,dolomitic limestone powder (fertilizers)
중과인산석회비료,01,G0101,double or triple superphosphate fertilizer
중과인산비료,01,G0101,double superphosphate fertilizers
중제피혁분비료,01,G0101,double-product leather meal (manures)
식물재배용 흙,01,G0101,soil for growing
분뇨비료,01,G0101,excrement (manures)
수경재배용 펼쳐진 진흙 기질(基質),01,G0101,expanded clay for hydroponic plant growing [substrate]
두엄,01,G0101,farmyard manure
비료첨가제,01,G0101,fertilizer additives
비료,01,G0101,fertilizers
비료 및 거름,01,G0101,fertilizers and manures
수경재배용 비료,01,G0101,fertilizers for hydroponics
화분 흙용 비료,01,G0101,fertilizers for potting soil
토양비료,01,G0101,fertilizers for soil
토양 및 화분용 흙용 비료,01,G0101,fertilizers for soil and potting soil
어분비료,01,G0101,fish meal fertilizers
용성인산비료,01,G0101,fused phosphate fertilizers
용과린비료,01,G0101,fused superphosphate fertilizers
잔디비료,01,G0101,grass fertilizers
구아노비료,01,G0101,guano
비료용 석고,01,G0101,gypsum for use as a fertilizer
부식토,01,G0101,humus
부식토비료,01,G0101,humus top dressing
무기질비료,01,G0101,inorganic fertilizers
철분비료,01,G0101,iron (fertilizers)
부엽토비료,01,G0101,leaf mold [fertilizer]
석회석 분말비료,01,G0101,limestone powder (fertilizers)
액상석회비료,01,G0101,liquid calcium fertilizers
액체비료,01,G0101,liquid fertilizers
가축분뇨(거름),01,G0101,livestock waste (manures)
양토(壤土),01,G0101,loam
망간비료,01,G0101,manganese fertilizer
해산(海産)비료,01,G0101,marine fertilizers
메탄인산염비료,01,G0101,methane phosphate (fertilizers)
미생물비료,01,G0101,microorganisms (fertilizers)
미네랄 비료제제,01,G0101,mineral fertilising preparations
무기물비료,01,G0101,mineral fertilizers
무기비료,01,G0101,mineral fertilizing preparations
광물퇴비,01,G0101,mineral manure
배합비료,01,G0101,mixed fertilizers
