application_no,trademark_name,applicant_name,sido,sigungu,application_date,year,nice_class,nice_class_label,status
40-2026-0100000,하늘베이커리,prime플랫폼,경기도,화성시,2023-07-05,2023,41,교육/문화,등록
40-2026-0100001,가온키친,이든키친,서울특별시,송파구,2021-10-04,2021,42,IT서비스,출원중
40-2026-0100002,green,이든컴퍼니,서울특별시,성동구,2023-08-26,2023,3,화장품,등록
40-2026-0100003,이든상사,새록컴퍼니,인천광역시,남동구,2022-01-17,2022,9,전자/소프트웨어,출원중
40-2026-0100004,nova,urban테크,충청남도,천안시 서북구,2021-09-06,2021,25,의류,등록
40-2026-0100005,가온,urban플랫폼,경기도,부천시,2023-01-04,2023,9,전자/소프트웨어,출원중
40-2026-0100006,third,별빛브루,충청북도,청주시 흥덕구,2023-05-20,2023,3,화장품,출원중
40-2026-0100007,하늘,다온랩스,서울특별시,강남구,2021-10-06,2021,41,교육/문화,출원중
40-2026-0100008,별빛,가온상사,전북특별자치도,전주시 덕진구,2025-04-06,2025,43,요식업,출원중
40-2026-0100009,미르물산,smart메디컬,강원특별자치도,원주시,2023-02-14,2023,42,IT서비스,등록
40-2026-0100010,nova코리아,다솜상사,서울특별시,성동구,2021-06-28,2021,3,화장품,등록
40-2026-0100011,solar,solar키친,경기도,용인시 기흥구,2023-03-11,2023,43,요식업,출원중
40-2026-0100012,미르,새록스튜디오,인천광역시,연수구,2023-04-27,2023,43,요식업,출원중
40-2026-0100013,thirdF&B,urban코스메틱,서울특별시,강남구,2021-09-25,2021,35,광고업/판매업,등록
40-2026-0100014,미르,가온테크,경기도,고양시 일산동구,2023-08-08,2023,43,요식업,출원중
40-2026-0100015,urban,미르컴퍼니,서울특별시,마포구,2023-04-11,2023,43,요식업,등록
40-2026-0100016,urban,smart랩스,경기도,수원시 영통구,2022-02-02,2022,21,생활용품,거절
40-2026-0100017,한빛,prime베이커리,인천광역시,연수구,2023-03-03,2023,3,화장품,거절
40-2026-0100018,nova테크,smart플랫폼,대구광역시,달서구,2022-09-23,2022,41,교육/문화,출원중
40-2026-0100019,smart플랫폼,푸른코스메틱,광주광역시,서구,2023-04-14,2023,25,의류,등록
40-2026-0100020,solar베이커리,새록랩스,경기도,용인시 기흥구,2025-01-21,2025,25,의류,출원중
40-2026-0100021,누리상사,누리물산,경기도,성남시 분당구,2025-04-23,2025,30,식품,거절
40-2026-0100022,누리,새록컴퍼니,서울특별시,강남구,2021-02-20,2021,43,요식업,등록
40-2026-0100023,푸른코리아,prime브루,서울특별시,마포구,2023-11-04,2023,44,의료/미용,출원중
40-2026-0100024,새록베이커리,urban상사,서울특별시,영등포구,2024-05-25,2024,43,요식업,출원중
40-2026-0100025,이든랩스,green베이커리,대구광역시,달서구,2024-01-24,2024,43,요식업,출원중
40-2026-0100026,smart,미르플랫폼,서울특별시,서초구,2021-03-16,2021,30,식품,등록
40-2026-0100027,누리상사,가온디자인,광주광역시,서구,2022-04-28,2022,42,IT서비스,출원중
40-2026-0100028,누리,다솜스튜디오,경기도,성남시 분당구,2025-07-12,2025,3,화장품,등록
40-2026-0100029,새록,green디자인,서울특별시,마포구,2021-06-21,2021,30,식품,소멸
40-2026-0100030,가온테크,새록물산,서울특별시,강남구,2024-04-06,2024,21,생활용품,소멸
40-2026-0100031,푸른,한빛물산,강원특별자치도,춘천시,2022-09-11,2022,35,광고업/판매업,등록
40-2026-0100032,새록전자,prime랩스,서울특별시,송파구,2024-07-01,2024,9,전자/소프트웨어,등록
40-2026-0100033,푸른,prime키친,경기도,성남시 분당구,2024-12-03,2024,43,요식업,소멸
40-2026-0100034,solar컴퍼니,nova스튜디오,서울특별시,중구,2022-11-16,2022,3,화장품,등록
40-2026-0100035,다온코리아,누리스튜디오,경상남도,창원시 성산구,2025-10-27,2025,41,교육/문화,등록
40-2026-0100036,prime,prime코스메틱,서울특별시,강남구,2025-08-10,2025,21,생활용품,등록
40-2026-0100037,한빛상사,smart상사,서울특별시,송파구,2022-02-21,2022,44,의료/미용,출원중
40-2026-0100038,푸른랩스,green물산,서울특별시,강남구,2025-05-23,2025,9,전자/소프트웨어,등록
40-2026-0100039,미르컴퍼니,푸른테크,서울특별시,송파구,2023-07-21,2023,25,의류,거절
40-2026-0100040,새록F&B,하늘코리아,경기도,부천시,2024-07-18,2024,42,IT서비스,출원중
40-2026-0100041,이든메디컬,prime스튜디오,서울특별시,마포구,2025-11-18,2025,43,요식업,등록
40-2026-0100042,다솜키친,thirdF&B,충청남도,천안시 서북구,2023-01-06,2023,44,의료/미용,등록
40-2026-0100043,가온상사,다온키친,서울특별시,강남구,2021-05-28,2021,42,IT서비스,출원중
40-2026-0100044,urban,urban코스메틱,서울특별시,마포구,2022-10-13,2022,30,식품,등록
40-2026-0100045,한빛코스메틱,solarF&B,서울특별시,강남구,2025-03-17,2025,43,요식업,등록
40-2026-0100046,새록,별빛전자,서울특별시,성동구,2025-12-04,2025,30,식품,출원중
40-2026-0100047,urban,urban물산,대구광역시,달서구,2021-01-20,2021,44,의료/미용,출원중
40-2026-0100048,미르,가온코스메틱,충청남도,천안시 서북구,2023-05-27,2023,42,IT서비스,등록
40-2026-0100049,새록코리아,온새미메디컬,서울특별시,영등포구,2024-08-05,2024,43,요식업,출원중
40-2026-0100050,가온상사,새록랩스,서울특별시,마포구,2024-02-28,2024,35,광고업/판매업,거절
40-2026-0100051,nova테크,true베이커리,울산광역시,남구,2024-04-08,2024,9,전자/소프트웨어,등록
40-2026-0100052,누리,다온테크,강원특별자치도,춘천시,2024-10-17,2024,35,광고업/판매업,등록
40-2026-0100053,미르,다온물산,서울특별시,중구,2023-07-07,2023,43,요식업,등록
40-2026-0100054,다온상사,다온브루,경기도,용인시 기흥구,2023-06-27,2023,44,의료/미용,출원중
40-2026-0100055,solar상사,가온상사,서울특별시,서초구,2021-11-22,2021,43,요식업,등록
40-2026-0100056,smart,누리코스메틱,경기도,고양시 일산동구,2025-12-16,2025,44,의료/미용,등록
40-2026-0100057,green베이커리,urban컴퍼니,서울특별시,종로구,2023-09-22,2023,9,전자/소프트웨어,소멸
40-2026-0100058,true,이든플랫폼,서울특별시,강남구,2022-06-06,2022,9,전자/소프트웨어,등록
40-2026-0100059,third,green코스메틱,경기도,성남시 분당구,2024-03-17,2024,9,전자/소프트웨어,등록
40-2026-0100060,누리,solar플랫폼,서울특별시,서초구,2022-06-20,2022,21,생활용품,등록
40-2026-0100061,한빛,누리메디컬,서울특별시,송파구,2024-05-19,2024,3,화장품,출원중
40-2026-0100062,true,별빛랩스,대전광역시,유성구,2022-08-03,2022,35,광고업/판매업,등록
40-2026-0100063,green,하늘메디컬,서울특별시,강남구,2025-04-14,2025,25,의류,등록
40-2026-0100064,하늘키친,미르F&B,서울특별시,성동구,2025-08-02,2025,25,의류,소멸
40-2026-0100065,다솜,third스튜디오,서울특별시,강남구,2021-04-17,2021,35,광고업/판매업,등록
40-2026-0100066,true,하늘스튜디오,서울특별시,강남구,2022-12-18,2022,35,광고업/판매업,등록
40-2026-0100067,누리전자,다솜랩스,서울특별시,마포구,2022-10-27,2022,42,IT서비스,등록
40-2026-0100068,urban,이든테크,대구광역시,수성구,2023-02-11,2023,44,의료/미용,등록
40-2026-0100069,푸른상사,미르코스메틱,대전광역시,유성구,2022-05-14,2022,43,요식업,등록
40-2026-0100070,urban,third코스메틱,서울특별시,영등포구,2025-10-24,2025,41,교육/문화,등록
40-2026-0100071,다솜,solar컴퍼니,서울특별시,영등포구,2023-04-03,2023,25,의류,등록
40-2026-0100072,가온,green테크,경기도,부천시,2024-12-23,2024,21,생활용품,출원중
40-2026-0100073,누리,prime키친,부산광역시,부산진구,2021-02-02,2021,43,요식업,등록
40-2026-0100074,다솜,미르코스메틱,서울특별시,서초구,2024-10-22,2024,3,화장품,거절
40-2026-0100075,가온,prime메디컬,서울특별시,서초구,2025-03-25,2025,21,생활용품,등록
40-2026-0100076,solar베이커리,nova코스메틱,서울특별시,마포구,2023-10-23,2023,3,화장품,등록
40-2026-0100077,true메디컬,green물산,서울특별시,송파구,2022-01-17,2022,21,생활용품,거절
40-2026-0100078,다온,한빛코스메틱,서울특별시,강남구,2023-11-26,2023,25,의류,등록
40-2026-0100079,누리,가온물산,경기도,성남시 분당구,2022-03-10,2022,3,화장품,출원중
40-2026-0100080,미르전자,새록플랫폼,서울특별시,마포구,2024-08-24,2024,41,교육/문화,등록
40-2026-0100081,다솜브루,true랩스,제주특별자치도,제주시,2025-11-03,2025,25,의류,등록
40-2026-0100082,하늘코리아,한빛메디컬,서울특별시,영등포구,2023-02-15,2023,44,의료/미용,출원중
40-2026-0100083,이든,하늘스튜디오,서울특별시,강남구,2025-10-11,2025,43,요식업,등록
40-2026-0100084,다솜전자,이든코스메틱,대구광역시,달서구,2021-05-19,2021,42,IT서비스,등록
40-2026-0100085,prime디자인,true스튜디오,인천광역시,남동구,2024-08-28,2024,9,전자/소프트웨어,등록
40-2026-0100086,다온코리아,한빛플랫폼,서울특별시,영등포구,2025-05-12,2025,41,교육/문화,등록
